id,Umur,Kelas Pekerja,Berat Akhir,Pendidikan,Jmlh Tahun Pendidikan,Status Perkawinan,Pekerjaan,Jenis Kelamin,Jam per Minggu,Gaji
151,2,8,139012,3,12,4,10,1,40.0,0
152,2,8,95864,2,9,2,10,0,40.0,0
153,1,8,120471,3,8,0,12,1,40.0,0
154,1,8,274424,3,8,0,13,0,40.0,0
155,2,8,100734,3,8,2,13,0,40.0,0
156,1,8,282611,3,12,0,2,0,40.0,0
157,3,3,163557,3,8,0,5,0,30.0,0
158,3,8,100303,0,7,4,7,1,40.0,0
159,1,8,197748,0,6,2,9,0,20.0,0
160,1,4,249385,3,12,0,5,0,10.0,0
161,2,8,362654,2,13,4,11,1,40.0,1
162,1,8,156587,2,9,0,5,0,38.0,0
163,4,0,273569,3,8,3,0,1,40.0,0
164,1,8,182714,3,8,0,9,0,45.0,0
165,2,8,129336,2,13,4,5,1,45.0,1
166,2,8,190482,3,8,2,3,1,40.0,0
167,3,8,102058,3,12,4,9,1,40.0,1
168,3,2,103948,3,12,2,11,1,80.0,0
169,2,1,102869,3,8,4,9,1,40.0,1
170,1,8,147548,3,8,2,10,0,30.0,0
171,3,8,24244,2,9,2,10,0,40.0,0
172,1,8,198614,0,6,0,9,0,8.0,0
173,1,8,111520,2,9,0,10,1,34.0,0
174,1,8,315065,0,5,0,10,1,60.0,0
175,3,0,257659,2,13,0,0,0,3.0,0
176,1,8,75821,2,9,0,11,0,40.0,0
177,3,8,255412,3,12,4,2,1,50.0,1
178,1,4,116677,3,8,4,9,1,40.0,0
179,3,8,177380,3,8,2,5,0,29.0,0
180,2,1,187454,3,12,4,11,1,40.0,0
181,2,8,215304,3,12,4,11,1,45.0,1
182,1,0,76198,3,8,1,0,0,20.0,0
183,2,8,320192,0,1,4,10,0,40.0,0
184,4,8,188643,3,8,3,5,0,30.0,0
185,1,8,97215,2,9,1,9,0,25.0,0
186,1,3,225291,1,11,0,11,0,40.0,0
187,3,8,289257,2,9,4,7,1,40.0,0
188,1,1,105997,2,9,0,9,0,25.0,0
189,1,8,587310,1,3,0,10,1,35.0,0
190,2,3,175642,3,12,0,5,0,40.0,1
191,1,8,267161,2,9,4,13,0,45.0,0
192,1,8,62438,3,12,4,9,0,40.0,1
193,2,8,503454,0,7,0,5,0,40.0,0
194,2,3,255559,3,8,0,5,0,40.0,0
195,3,8,130684,2,9,4,11,1,42.0,0
196,1,8,154422,2,9,2,9,0,30.0,0
197,1,8,328518,3,12,0,5,1,40.0,0
198,2,2,132576,3,8,4,9,1,45.0,1
199,2,2,226027,2,9,4,2,1,60.0,0
200,1,3,218445,2,9,0,5,0,40.0,0
201,4,8,149992,1,3,4,8,1,35.0,0
202,2,8,617917,3,12,4,9,1,40.0,1
203,1,8,182380,3,8,2,7,1,40.0,0
204,1,3,150084,2,9,1,6,1,60.0,0
205,3,1,76901,1,11,4,2,1,55.0,1
206,1,0,369907,2,9,0,0,1,20.0,0
207,2,8,186299,3,12,4,2,1,40.0,1
208,1,8,201122,3,12,4,9,1,45.0,1
209,3,1,149698,3,14,4,11,1,40.0,1
210,3,3,310085,3,8,4,10,1,40.0,1
211,4,8,163385,2,9,3,9,1,35.0,1
212,3,8,111218,3,8,4,12,1,60.0,0
213,2,1,409189,1,3,4,9,1,40.0,0
214,1,8,197666,2,9,0,5,0,24.0,0
215,1,8,174543,1,11,0,11,0,40.0,0
216,1,8,138513,3,8,0,4,1,40.0,0
217,1,5,144259,3,8,0,5,1,40.0,0
218,1,8,236804,3,8,0,5,1,40.0,0
219,1,0,143995,2,9,0,0,1,20.0,0
220,2,3,132368,0,2,4,12,1,40.0,0
221,2,2,106232,3,14,4,11,1,48.0,1
222,2,2,222532,3,14,0,9,0,45.0,0
223,1,3,336320,3,12,2,6,0,40.0,0
224,3,3,133201,2,13,4,2,1,50.0,0
225,2,3,183224,2,13,4,11,0,40.0,1
226,3,3,190333,3,8,4,6,1,40.0,0
227,1,8,282173,2,9,4,7,1,40.0,0
228,2,1,107231,1,11,4,7,1,65.0,0
229,3,8,230292,2,9,4,5,1,40.0,1
230,2,8,153078,2,13,4,2,1,40.0,1
231,2,8,219441,0,5,0,9,0,35.0,0
232,2,5,115433,1,11,4,5,0,33.0,1
233,2,8,176050,2,9,4,2,1,47.0,1
234,3,8,155496,3,8,0,5,0,40.0,0
235,1,8,105244,2,9,0,4,1,50.0,0
236,2,8,148291,3,8,4,13,0,32.0,0
237,3,3,24139,2,13,2,11,0,65.0,0
238,1,5,366207,3,8,0,12,1,40.0,0
239,3,2,334273,2,15,4,11,1,65.0,1
240,4,8,35015,2,13,0,11,1,99.0,0
241,2,8,172571,3,12,4,2,1,54.0,1
242,2,8,329144,3,12,4,2,1,60.0,1
243,1,0,145964,3,8,0,0,1,40.0,0
244,1,0,113635,0,6,0,0,1,30.0,0
245,2,5,72808,0,6,2,5,0,42.0,0
246,1,8,136204,2,13,1,2,1,55.0,1
247,3,8,195668,0,5,4,10,1,35.0,1
248,1,8,52566,3,8,0,5,0,40.0,0
249,3,4,109567,2,9,4,2,1,40.0,1
250,1,8,244395,0,6,0,10,0,40.0,0
251,1,8,110677,2,9,0,5,0,40.0,0
252,2,8,189922,1,11,4,13,1,50.0,1
253,3,4,143822,2,15,4,11,1,40.0,1
254,3,8,180439,3,12,4,7,1,40.0,1
255,1,0,302836,1,11,4,0,1,40.0,0
256,2,8,185437,1,11,2,7,0,55.0,0
257,1,1,400061,3,14,4,11,1,40.0,1
258,2,3,311080,2,9,4,5,1,40.0,1
259,2,8,188972,2,9,0,11,0,40.0,0
260,1,8,206325,0,6,4,7,1,45.0,0
261,2,8,132879,3,8,4,2,1,40.0,1
262,1,8,300783,2,9,4,9,0,42.0,1
263,3,8,142757,2,9,4,11,1,56.0,1
264,3,8,265579,3,8,2,5,0,40.0,0
265,1,8,53260,3,8,2,10,0,28.0,0
266,1,8,447739,2,15,0,11,1,60.0,0
267,3,8,323798,2,9,2,2,1,50.0,0
268,1,0,20057,2,9,0,0,0,16.0,0
269,1,0,220168,2,9,0,0,1,16.0,0
270,3,8,113912,1,10,4,11,0,20.0,0
271,1,8,98769,3,12,0,9,1,45.0,0
272,2,8,179533,3,8,4,7,1,40.0,1
273,1,5,198813,3,12,0,5,0,40.0,0
274,2,8,229732,3,12,0,9,1,45.0,1
275,3,8,203435,3,8,0,4,0,40.0,0
276,1,0,28311,0,6,0,0,0,35.0,0
277,3,2,142166,3,12,2,9,1,45.0,0
278,1,8,221428,0,7,4,9,1,35.0,0
279,1,8,234537,3,12,4,11,1,50.0,1
280,3,1,335605,3,8,4,10,1,50.0,1
281,1,8,193090,2,9,0,5,0,40.0,0
282,1,8,139209,3,8,0,3,0,40.0,0
283,3,6,123004,3,8,4,3,0,40.0,1
284,1,8,188300,0,6,0,3,0,40.0,0
285,2,8,511517,3,8,4,11,1,40.0,0
286,2,1,177407,3,8,4,9,1,50.0,0
287,1,8,33551,2,9,2,5,1,50.0,0
288,1,0,186452,2,9,0,0,1,36.0,0
289,3,2,263925,3,8,4,9,1,40.0,1
290,1,0,164940,3,8,1,0,0,25.0,0
291,1,3,115040,3,8,4,4,1,25.0,0
292,1,3,238384,3,8,0,5,0,40.0,0
293,1,8,144808,2,9,0,5,0,40.0,0
294,2,8,42596,2,9,4,2,1,45.0,0
295,3,1,113080,1,4,4,9,1,58.0,1
296,2,8,246396,3,8,4,5,1,40.0,0
297,1,1,429281,3,8,0,8,1,40.0,0
298,1,1,100252,3,8,4,3,1,60.0,0
299,1,1,180859,2,9,0,7,1,8.0,0
300,3,8,113176,3,8,2,9,0,40.0,0
301,2,1,30840,2,9,4,11,1,45.0,0
302,2,8,107231,3,14,4,2,1,50.0,1
303,1,8,113364,2,9,4,4,1,40.0,0
304,1,8,275421,1,10,0,3,0,40.0,0
305,2,8,183557,1,11,0,11,0,40.0,0
306,1,8,106406,2,9,4,7,1,40.0,0
307,1,8,167350,2,9,4,13,1,40.0,1
308,2,1,348771,0,6,4,7,1,36.0,0
309,1,0,195075,2,9,0,0,0,30.0,0
310,2,8,96080,1,4,1,7,0,40.0,0
311,1,0,126402,0,6,0,0,0,40.0,0
312,1,4,113129,2,9,0,10,0,65.0,0
313,3,8,151474,3,8,2,4,0,40.0,0
314,3,8,203735,3,8,2,2,0,40.0,0
315,2,8,111706,0,1,0,3,0,40.0,0
316,1,8,118462,3,8,0,4,1,43.0,0
317,2,8,197836,3,8,4,9,1,45.0,0
318,1,8,23778,1,3,1,4,1,40.0,0
319,3,8,392286,3,8,4,12,1,40.0,1
320,2,8,583755,3,8,4,5,1,40.0,1
321,2,8,589809,3,12,4,5,1,45.0,1
322,2,8,200808,0,6,4,10,1,35.0,0
323,1,8,118088,3,8,0,7,1,40.0,0
324,1,5,80485,2,13,2,2,0,40.0,0
325,4,1,203523,3,14,4,2,1,10.0,0
326,1,8,324445,3,8,0,13,0,40.0,0
327,1,8,190325,0,6,0,11,1,40.0,0
328,2,8,52963,3,12,0,5,0,50.0,0
329,3,3,213975,3,8,3,10,0,30.0,0
330,2,8,186256,2,9,4,9,1,55.0,1
331,3,8,22154,2,9,4,9,1,40.0,0
332,3,8,188650,0,2,4,9,1,40.0,1
333,2,8,287547,2,9,2,11,0,40.0,0
334,1,8,178841,3,8,0,5,0,40.0,0
335,2,8,151764,2,9,4,2,1,50.0,0
336,1,4,147280,3,8,0,10,1,40.0,0
337,1,8,173858,3,8,4,3,1,40.0,0
338,1,8,75759,2,9,0,5,1,40.0,0
339,2,1,62143,2,13,4,2,0,40.0,1
340,2,2,242080,3,14,4,11,1,80.0,1
341,2,8,255635,0,2,4,3,1,40.0,0
342,2,2,54190,3,14,4,11,1,40.0,1
343,1,8,120238,3,8,4,9,1,40.0,0
344,2,8,25468,2,13,2,2,1,50.0,1
345,3,8,547108,3,12,4,13,1,40.0,1
346,2,3,127678,1,10,4,6,1,60.0,1
347,3,8,354923,3,12,2,2,0,45.0,0
348,2,8,182556,3,8,0,10,1,40.0,0
349,3,3,199995,3,12,2,6,1,40.0,1
350,3,1,44368,3,8,4,9,1,55.0,1
351,2,8,71305,3,8,4,10,1,40.0,0
352,2,8,252986,2,9,4,7,1,48.0,1
353,2,8,204461,3,12,4,11,1,55.0,1
354,2,8,282155,3,8,1,10,0,25.0,0
355,2,8,174395,3,8,2,10,1,60.0,0
356,3,3,180162,1,4,2,6,1,24.0,0
357,4,0,41737,3,8,4,0,1,30.0,0
358,1,0,132749,3,12,0,0,0,80.0,0
359,1,8,469697,2,9,4,7,1,40.0,0
360,1,8,162298,3,8,0,7,1,40.0,0
361,2,8,85668,1,3,4,7,1,60.0,0
362,3,3,149210,3,12,4,6,1,40.0,1
363,2,8,267798,3,8,2,7,1,40.0,0
364,2,8,186824,3,8,4,4,1,70.0,0
365,4,0,486436,2,9,4,0,1,45.0,1
366,2,8,191389,0,2,4,5,0,40.0,0
367,2,8,99309,2,9,2,7,1,50.0,0
368,2,8,161141,2,9,4,7,1,55.0,0
369,3,4,50048,2,15,4,11,1,50.0,1
370,1,8,369166,2,9,0,8,0,65.0,0
371,2,8,350106,2,9,0,10,1,34.0,0
372,1,8,183802,3,8,4,4,1,40.0,0
373,3,8,177368,2,9,4,5,1,45.0,1
374,2,8,263908,2,9,4,9,1,50.0,0
375,1,2,112564,2,9,0,9,1,40.0,0
376,2,8,169324,3,8,0,10,0,32.0,0
377,1,8,79874,1,10,0,3,1,40.0,0
378,4,1,227906,3,8,4,7,1,30.0,0
379,1,8,285295,3,12,4,10,0,40.0,0
380,2,1,109959,2,9,4,9,1,25.0,0
381,2,3,191957,3,12,4,7,1,45.0,1
382,2,8,103260,3,12,4,7,0,30.0,1
383,3,8,182907,3,8,0,4,1,25.0,0
384,2,8,220531,3,14,4,11,1,60.0,1
385,3,2,167793,3,12,4,2,1,40.0,1
386,1,8,136651,0,2,4,7,1,40.0,0
387,1,8,89735,1,10,4,11,1,40.0,1
388,4,8,184454,3,8,4,3,1,40.0,1
389,2,8,228570,3,8,4,9,0,35.0,0
390,2,8,184456,3,12,4,9,1,40.0,1
391,1,8,261203,1,3,0,10,0,30.0,0
392,3,8,330535,2,15,2,2,1,40.0,1
393,2,1,157562,3,12,4,8,1,80.0,1
394,1,0,188618,2,9,0,0,0,25.0,0
395,2,8,168817,3,8,0,3,1,40.0,0
396,2,8,115178,3,12,2,11,0,43.0,1
397,1,8,415913,2,9,0,4,1,30.0,0
398,2,8,97883,2,9,2,5,0,40.0,0
399,2,8,201785,2,13,4,9,1,50.0,1
400,1,8,204648,1,10,0,3,0,40.0,0
401,1,8,209934,2,9,0,3,1,40.0,0
402,3,8,358740,3,8,2,5,0,40.0,0
403,1,8,30776,3,12,4,9,1,40.0,1
404,1,0,502633,3,12,4,0,1,40.0,0
405,3,0,69328,1,10,4,0,1,50.0,1
406,2,8,679853,3,8,4,7,1,40.0,0
407,1,8,320425,2,9,0,11,1,30.0,0
408,1,8,379246,2,9,0,10,0,40.0,0
409,1,8,205604,0,2,0,3,1,30.0,0
410,2,8,199590,0,2,4,12,1,38.0,0
411,2,8,373469,1,11,4,3,1,40.0,0
412,2,8,145175,2,9,4,3,1,40.0,0
413,4,8,298470,3,12,3,9,1,30.0,0
414,3,8,249706,2,9,2,5,0,40.0,0
415,1,8,118337,3,8,4,12,1,60.0,0
416,2,8,195023,3,8,5,3,0,40.0,0
417,1,8,37379,3,12,0,2,0,45.0,0
418,2,1,209057,3,12,5,9,1,50.0,1
419,1,8,46712,3,8,2,10,0,40.0,0
420,2,4,345969,1,11,4,5,1,40.0,1
421,1,0,156780,2,9,0,0,0,15.0,0
422,3,8,186826,3,14,0,11,1,40.0,1
423,1,8,206051,3,12,4,5,1,40.0,1
424,1,0,220115,3,8,0,0,1,12.0,0
425,3,8,38795,3,8,2,7,1,40.0,1
426,2,1,101722,2,9,4,2,1,40.0,0
427,2,8,81206,3,8,2,4,1,40.0,0
428,1,1,139278,3,8,0,9,1,20.0,0
429,2,8,123838,3,12,4,9,1,60.0,1
430,3,8,186982,2,9,1,2,0,45.0,1
431,3,8,170262,3,8,4,2,0,38.0,1
432,2,8,222703,1,3,4,3,1,40.0,0
433,1,0,130832,3,12,0,0,0,10.0,0
434,1,8,211596,3,8,2,7,1,40.0,0
435,2,8,171889,0,7,0,9,0,35.0,0
436,1,8,339956,3,8,4,12,1,60.0,0
437,1,8,206889,3,8,2,7,1,40.0,0
438,1,8,37939,2,9,0,10,1,40.0,0
439,3,4,79324,2,15,2,11,1,30.0,0
440,1,8,375980,2,9,0,5,0,40.0,0
441,1,8,160398,2,9,5,4,1,40.0,0
442,2,8,356882,3,8,4,13,1,40.0,0
443,1,8,270276,3,8,0,5,0,40.0,0
444,3,3,124987,3,12,4,11,1,40.0,1
445,2,8,125856,3,8,4,7,1,40.0,0
446,2,0,32533,2,9,0,0,1,45.0,0
447,3,8,179291,2,9,4,11,1,56.0,1
448,1,8,130652,2,9,0,5,0,25.0,0
449,3,2,30751,1,10,2,2,1,60.0,0
450,3,8,109277,1,4,4,3,1,48.0,0
451,4,1,198766,3,8,3,9,1,40.0,0
452,1,8,112009,3,8,2,10,0,35.0,0
453,2,8,323985,3,12,4,5,0,5.0,1
454,2,1,136204,3,12,4,11,1,32.0,1
455,1,8,279667,0,5,4,7,1,45.0,0
456,3,2,179436,3,12,4,2,1,55.0,1
457,1,0,170038,2,9,0,0,0,40.0,0
458,1,8,221480,2,9,0,13,0,8.0,0
459,3,8,103407,3,8,2,5,0,40.0,0
460,3,8,33323,3,8,4,3,1,40.0,0
461,3,8,145409,2,9,4,7,1,50.0,1
462,3,8,170287,2,9,4,11,1,40.0,1
463,2,4,237873,3,8,0,10,0,40.0,0
464,3,8,125000,3,14,4,2,1,60.0,1
465,2,8,187329,3,12,0,11,0,40.0,0
466,3,8,99682,2,9,4,9,0,52.0,1
467,1,8,131230,3,12,0,6,1,50.0,0
468,1,8,229296,3,8,0,4,1,35.0,0
469,2,3,269168,3,8,4,10,1,40.0,0
470,1,8,184198,0,6,0,9,0,13.0,0
471,3,0,558183,1,10,5,0,0,40.0,0
472,2,8,110009,0,5,4,3,1,40.0,0
473,3,3,96062,3,8,4,6,1,40.0,0
474,4,2,127605,3,12,4,9,1,40.0,1
475,1,8,190525,3,12,4,2,1,55.0,1
476,2,8,183765,3,8,4,10,1,40.0,0
477,1,8,126132,3,12,4,2,1,50.0,1
478,2,8,167725,2,9,2,3,1,40.0,0
479,2,3,255847,3,8,4,12,1,40.0,0
480,2,8,114691,2,9,4,2,1,50.0,1
481,1,8,184135,3,8,0,3,1,1.0,0
482,1,0,122244,3,8,0,0,0,28.0,0
483,2,4,98010,2,13,4,11,0,16.0,1
484,1,3,138917,3,12,0,11,1,35.0,0
485,1,8,43323,3,8,0,10,0,40.0,0
486,2,1,136028,1,4,4,7,1,30.0,0
487,1,8,323069,1,11,2,9,0,45.0,0
488,1,0,170653,3,8,0,0,1,40.0,0
489,3,8,223613,0,1,2,1,0,30.0,0
490,1,5,73047,2,9,4,2,1,32.0,0
491,2,8,23646,2,13,0,11,0,40.0,0
492,3,8,30846,2,9,2,3,0,40.0,0
493,1,8,299536,2,9,4,5,0,55.0,0
494,3,8,193374,2,9,4,13,1,40.0,1
495,1,8,407436,3,8,0,7,1,30.0,0
496,2,5,125933,3,8,4,5,1,40.0,1
497,2,8,214378,3,8,0,5,0,40.0,0
498,2,8,221666,2,9,2,13,0,40.0,0
499,2,8,211494,2,9,2,2,1,55.0,0
500,1,8,194504,2,9,1,9,0,40.0,0
501,1,8,143766,3,8,0,10,1,30.0,0
502,1,8,617860,2,9,0,4,1,40.0,0
503,1,8,197200,3,8,0,7,1,44.0,0
504,4,1,331960,3,8,4,7,1,20.0,0
505,2,8,135384,3,8,1,3,0,40.0,0
506,1,8,341294,3,8,4,3,1,40.0,0
507,3,8,96299,3,8,2,12,1,45.0,1
508,1,8,430710,3,8,1,9,1,40.0,0
509,3,8,193568,0,6,3,10,0,40.0,0
510,1,8,134737,3,12,4,11,1,50.0,1
511,2,8,219424,3,12,0,2,0,50.0,1
512,3,8,88019,3,8,2,10,1,32.0,0
513,3,3,244903,0,6,4,7,1,40.0,1
514,2,1,149230,1,10,0,10,0,40.0,0
515,1,1,213385,2,9,0,7,1,80.0,0
516,2,8,213307,0,1,2,3,0,40.0,0
517,3,8,175804,3,8,4,9,1,48.0,0
518,1,8,285897,3,12,4,2,1,40.0,0
519,1,2,114937,3,12,4,2,1,55.0,1
520,2,8,265662,3,12,4,9,1,40.0,1
521,3,2,100029,2,15,4,11,1,40.0,1
522,3,8,42959,3,8,3,10,0,36.0,0
523,1,0,113760,3,8,0,0,0,40.0,0
524,2,3,24982,2,9,4,2,1,40.0,1
525,1,8,96480,3,8,0,5,0,50.0,0
526,1,3,135567,3,12,0,5,0,60.0,0
527,2,8,100584,3,8,4,3,1,40.0,0
528,3,8,198759,1,11,4,9,1,60.0,1
529,2,1,198692,2,9,4,7,1,45.0,1
530,1,8,198992,3,8,0,9,0,33.0,0
531,1,1,166961,2,9,4,5,0,20.0,1
532,1,8,217961,2,9,4,10,1,40.0,0
533,1,8,230482,1,4,0,4,1,40.0,0
534,3,8,188330,3,8,4,10,1,78.0,0
535,1,8,162370,2,13,1,11,0,35.0,0
536,3,8,187060,3,8,2,5,0,40.0,0
537,1,1,266668,3,8,0,11,1,40.0,0
538,3,4,109600,2,13,5,2,0,44.0,1
539,1,8,127651,1,11,4,2,1,38.0,1
540,3,8,137506,1,4,3,4,1,40.0,0
541,1,1,209205,2,9,4,7,1,40.0,1
542,1,8,410439,2,9,0,9,1,24.0,0
543,1,8,98283,3,12,0,11,1,40.0,0
544,1,8,231931,2,9,0,9,1,45.0,0
545,1,1,236769,1,3,4,7,1,40.0,0
546,2,1,188503,2,13,0,11,0,60.0,1
547,3,8,227475,3,12,2,9,0,40.0,0
548,2,8,298785,1,4,2,7,1,50.0,0
549,3,8,197114,0,6,4,7,1,40.0,0
550,2,1,331374,0,6,4,10,1,60.0,0
551,3,3,168212,3,12,4,11,1,40.0,1
